"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.98127512303012,0.26,0.002,0,"8","Tigd4"
6.95859488998921e-285,7.36636821904097,0.267,0.007,1.33438015610433e-280,"8","Thsd7b"
0,6.79270639479566,0.373,0.008,0,"8","Slc24a2"
0,6.6684252591308,0.579,0.013,0,"8","Col22a1"
0,6.43464074096806,0.305,0.007,0,"8","AC106834.1"
0,6.00136188834531,0.556,0.028,0,"8","Fras1"
1.08647229372219e-235,5.11756119910896,0.505,0.051,2.08341927044168e-231,"8","Erbb4"
9.83433601692249e-183,4.85076969637785,0.267,0.015,1.88583227460506e-178,"8","Med12l"
9.37330558460549e-233,4.68246847797123,0.412,0.031,1.79742507890395e-228,"8","Col24a1"
5.16427144550854e-218,4.46856322885109,0.334,0.021,9.90300692390717e-214,"8","Atp1b4"
0,9.712104490747,0.346,0.001,0,"9","F630028O10Rik"
0,9.38113125625663,0.27,0,0,"9","Ptafr"
0,8.96609375697778,0.301,0.001,0,"9","Ms4a6d"
0,8.91059864438608,0.349,0.001,0,"9","Pirb"
0,8.74332322135772,0.263,0.001,0,"9","Lcp2"
0,8.70305935114399,0.301,0.001,0,"9","Cd200r1"
0,8.5384713813304,0.464,0.003,0,"9","Ms4a4a"
0,8.51429770768882,0.401,0.002,0,"9","Pik3ap1"
0,8.47437152327606,0.277,0.003,0,"9","Cd74"
0,8.43457051521809,0.339,0.001,0,"9","Ccl9"
8.68976871393054e-146,3.28606850580566,0.946,0.245,1.66635004858332e-141,"10","Mylpf"
5.02637369319795e-98,3.13003524185813,0.957,0.484,9.63857419407639e-94,"10","Myl1"
1.76149814843196e-72,2.93617680028225,0.341,0.045,3.37784884943313e-68,"10","Cish"
8.37552152170841e-97,2.90859689518535,0.638,0.127,1.60609000700281e-92,"10","Ky"
5.12117828919862e-118,2.60765420465132,0.832,0.188,9.82037148736727e-114,"10","Crhr2"
3.67292622465798e-60,2.56098627627198,0.384,0.067,7.04320332840414e-56,"10","Mamstr"
2.43732943358575e-51,2.54066068844244,0.351,0.065,4.67382292184404e-47,"10","Lsmem1"
1.91466234078764e-96,2.53850951117497,0.892,0.303,3.67155650469438e-92,"10","Acta1"
2.96346078312551e-82,2.51541494704935,0.735,0.197,5.68273239772148e-78,"10","Itgb6"
4.39014052381929e-71,2.51458268298326,0.589,0.135,8.41853346847586e-67,"10","Ddit4l"
0,9.09687157785486,0.904,0.005,0,"11","Myh7"
0,8.79886113993569,0.518,0.001,0,"11","Mhrt"
0,8.64585478147045,0.482,0.002,0,"11","Myh7b"
0,8.604552373505,0.456,0.001,0,"11","Gm31251"
0,8.23545617699513,0.447,0.002,0,"11","Myh6"
0,8.02275715186252,0.325,0.002,0,"11","Tecrl"
0,7.85925841957964,0.728,0.005,0,"11","Tnnc1"
0,7.5806401185274,0.781,0.009,0,"11","Tnni1"
0,7.24220228914864,0.702,0.009,0,"11","Myl2"
0,6.86525716020109,0.789,0.011,0,"11","Tnnt1"
0,7.44153884983697,0.423,0.004,0,"12","Tnc"
0,7.19964956622025,0.702,0.008,0,"12","Col11a1"
2.45169262985744e-257,6.96574059244867,0.375,0.008,4.70136578701463e-253,"12","Ptprt"
0,6.92615082522566,0.529,0.006,0,"12","Fmod"
0,6.86843532736937,0.683,0.014,0,"12","Mkx"
0,6.61661975648776,0.788,0.017,0,"12","Thbs4"
3.0613684387118e-283,6.39152268538493,0.51,0.015,5.87048011807374e-279,"12","Nlgn1"
5.48831546002563e-275,6.3743551884397,0.385,0.008,1.05243937261452e-270,"12","Grik4"
0,6.14526811452924,0.577,0.013,0,"12","Col12a1"
1.03767523633652e-244,5.95811993480323,0.462,0.014,1.98984603319891e-240,"12","Ccdc3"
0,9.34315937091891,0.292,0.001,0,"13","Sox17"
0,7.738150927996,0.472,0.004,0,"13","Nos3"
0,7.53044553302266,0.91,0.013,0,"13","Ptprb"
0,7.51559559151727,0.876,0.022,0,"13","Pecam1"
0,7.15589517298606,0.854,0.012,0,"13","Cyyr1"
0,7.11453499587095,0.449,0.004,0,"13","Podxl"
1.59951927852673e-299,7.02765754519098,0.36,0.005,3.06723816850286e-295,"13","Dipk2b"
0,7.00528973216253,0.539,0.006,0,"13","Egfl7"
0,7.00381080323661,0.348,0.004,0,"13","Vwf"
0,6.96876385613741,0.337,0.003,0,"13","Arhgef15"
0,7.8681089531367,0.554,0.005,0,"14","Calcr"
0,7.66179860939188,0.843,0.017,0,"14","Hs6st3"
0,7.2667865406949,0.578,0.009,0,"14","Fgfr4"
0,7.18108544717953,0.819,0.016,0,"14","Chodl"
3.81782248873215e-278,6.79548082176931,0.578,0.016,7.32105640439278e-274,"14","Lama3"
3.51369884842568e-243,6.22725817650826,0.446,0.011,6.73786891174108e-239,"14","Megf10"
2.01935057782107e-205,6.07965224922037,0.518,0.019,3.87230666802969e-201,"14","Pax7"
5.15170595526305e-160,6,0.289,0.007,9.87891133981243e-156,"14","Drp2"
0,5.93288580414146,0.783,0.026,0,"14","Tenm4"
1.1782124190705e-227,5.81255382873192,0.59,0.022,2.25934013480958e-223,"14","Clmn"
0,10.5599832268322,0.929,0.003,0,"15","Mmrn1"
0,9.85510285699691,0.6,0.002,0,"15","Ccl21a"
0,9.6054913045021,0.986,0.011,0,"15","Reln"
0,8.99003243708303,0.771,0.003,0,"15","Flt4"
0,8.96201806091343,0.6,0.002,0,"15","Apba2"
0,8.86248238736251,0.343,0.001,0,"15","Adgrg3"
0,8.37705556019227,0.486,0.003,0,"15","Tc2n"
0,7.97712495330364,0.529,0.002,0,"15","Sh3gl3"
0,7.92388293202666,0.629,0.004,0,"15","Klhl4"
0,7.87070289416748,0.343,0.002,0,"15","Il7"
0,10.894418480305,0.419,0,0,"16","Pck1"
0,10.2718677360285,0.726,0.002,0,"16","Cfd"
0,10.0833548285935,0.742,0.002,0,"16","Cyp2e1"
0,10.0205075728973,0.855,0.003,0,"16","Acvr1c"
0,9.9803917034149,0.887,0.003,0,"16","Cidec"
0,9.90952537269526,0.419,0,0,"16","Adipoq"
0,9.89441848030505,0.355,0.001,0,"16","Retn"
0,9.81641596830378,0.274,0,0,"16","Lep"
0,9.64649096686147,0.548,0.001,0,"16","Lgals12"
0,9.23145346758262,0.613,0.002,0,"16","Slc7a10"
